Title,Author,ISBN Valid,Publisher,Subjects,i
Plus heureux que jamais : roman /,"Silvera, Adam",9782221240496; 2221240499,Éditions Robert Laffont,Homosexualité; Roman pour la jeunesse,14709
"Anxiété, stress ? Je gère ! : rester serein au quotidien /","Cornette de Saint Cyr, Xavier, 1959-.....",9782889536917; 2889536912,Jouvence éditions,Anxiété.; Gestion du stress.,14710
La conjugaison : pour tous /,,9782401052352; 2401052356,Hatier,Conjugaison française--Verbes,14711
Soins infirmiers en pédiatrie.,,9782761396936; 2761396936,ERPI,Pediatrics; Nursing Care; Nursing Homes; Enfants--Maladies--Soins infirmiers; Textbook,14712
La femme de ménage : roman /,"McFadden, Freida",9782290391174; 2290391174,J'ai Lu,Thriller (roman),14713
Physique : [cours et exercices corrigés] /,"Halliday, David, 1916-",2894618514; 9782894618516; 2894618522; 9782894618523; 2894618530; 9782894618530,Chenelière/McGraw-Hill; Dunod,physique--[manuel]; physique--[exercices],14714
Enseigner l'alimentation par un projet de société : les enseignements pratiques interdisciplinaires /,,9782343121475; 2343121478,L'Harmattan,Éducation nutritionnelle,14715
Les femmes et la science /,"Chazal, Gérard",234000313X; 9782340003132,Ellipses,Femmes dans les sciences--Histoire; Discrimination sexuelle dans les sciences,14716
La bosse des maths n'existe pas : rétablir l'égalité des chances dans les matières scientifiques /,"Perronnet, Clémence",9782746755734; 2746755734,Editions Autrement,Femmes dans les sciences; Sociologie de l'éducation; Différences entre sexes en éducation; Démocratisation de l'enseignement; Aptitude pour les mathématiques; Sciences de l'éducation,14717
The six of crows duology /,"Bardugo, Leigh",9781250211101; 1250211107; 9781250076960; 125007696X; 9781250076977; 1250076978,Henry Holt and Company,,14718
La mesure de la force : traité de stratégie de l'Ecole de guerre /,"Motte, Martin",9791021048201,Tallandier,Guerre; Stratégie; Art et science militaires; Doctrines militaires,14719
Le Moyen Âge en Occident : [nouvel atlas historique] /,"Balard, Michel",9782011461537; 2011461537,Hachette supérieur,Châteaux forts; Carolingiens--(dynastie); Féodalité; Villes médiévales; Église--Moyen âge; Gènes--Moyen âge; Civilisation médiévale; Europe--Moyen âge; Manuels d'enseignement supérieur,14720
Le mythe de Sisyphe : essai sur l'absurde /,"Camus, Albert",9782070322886; 2070322882,Gallimard,,14721
Sophocles /,Sophocles,0674995570; 9780674995574; 0674995589; 9780674995581; 0674995325; 9780674995321,Harvard University Press,,14722
"Les Demoiselles d'Avignon : [Exposition, Paris, Musée Picasso, 26 janvier - 18 avril 1988 : Barcelone, Museu Picasso du 10 mai au 14 juillet 1988]",,2711821609; 9782711821600; 2711821765; 9782711821761; 2711821773; 9782711821778,Ed de la Réunion des musées nationaux; Ministère de la culture et de la communication,"Picasso, Pablo.--""Les demoiselles d'Avignon""--[catalogue d'exposition]",14723
Écrits sur le cinéma : 1919-1937 /,"Dulac, Germaine",9782912539557; 2912539552,Impr Pulsio; Paris expérimental,Films expérimentaux; Histoire du cinéma; Cinéma et arts; Cinéma--Esthétique,14724
Sarcophages de Phénicie : sarcophages à scènes en relief /,"Ferron, Jean",2705303200; 9782705303204,P Geuthner,bas-relief phénicien--sarcophage phénicien,14725
I canzonieri della lirica italiana delle origini /,,8887027919; 9788887027914; 8887027749; 9788887027747; 8887027730; 9788887027730; 8887027900; 9788887027907; 8887027757; 9788887027754; 9788884503640; 8884503647; 9788884507570; 888450757X,SISMEL - Ed del Galluzzo,"Biblioteca Riccardiana--(Florence, Italie)--Manuscrit. Codex 2533; Biblioteca apostolica vaticana (Vatican) - ""Manuscrit Vat. lat. 3793""--[études diverses]; Biblioteca Medicea-Laurenziana (Florence)--""Manuscrit Rediano 9""--[études diverses]; Biblioteca nazionale centrale (Florence)--""Manuscrit Banco Rari 217""--[études diverses]; manuscrit italien--poésie italienne--origines / 13e s.--[anthologie]; Fac-similés",14726
"Techniques d'animation : pour le dessin animé, l'animation 3D et le jeu vidéo /","Williams, Richard",9782212128185; 2212128185,Eyrolles,Animation (cinéma); ANIMATION PAR ORDINATEUR; ANIMATION: TECHNIQUE; ANIMATION; Manuels d'amateurs,14727
"Dictionnaire du dadaïsme, 1916-1922 /","Hugnet, Georges",9782841005178; 2841005178,Bartillat,Dadaïsme; 1916-1922; [Dictionnaires français],14728
"Strip-Tease : tout sur ma vie, tout sur mon art /",Orlan,9782072941351; 2072941350,Gallimard,Orlan; Autobiographie,14729
Tristan /,"Gottfried, von Strassburg",3150300576; 9783150300572,Reclam,,14730
Les Bacchantes d'Euripide /,Euripides,,Les belles lettres; E Belin,,14731
"Les condottieres : capitaines, princes et mécènes en Italie : XIIIe-XVIe siècles /","Cassagnes-Brouquet, Sophie, 1957-",9782729863456; 2729863451,Ellipses-Marketing,condottiere--Italie--13e s. / 16e s.,14732
The moral narratives of Hayao Miyazaki /,"Reinders, Eric Robert",9781476664521; 1476664528,McFarland & Company Inc Publishers,"Miyazaki, Hayao--Critique et interprétation; Miyazaki, Hayao--Philosophie; Philosophy in motion pictures; Religion in motion pictures; Philosophie et cinéma; Cinéma--Religion",14733
Dialogues pythiques /,Plutarque 0046?-0120?,9782080710512; 2080710516,GF Flammarion,Pythies; Religion grecque; Dialogues (genre littéraire) grecs--1er siècle,14734
L'archipel du Goulag : 1918-1956 : essai d'investigation littéraire /,"Solzhenit︠s︡yn, Aleksandr Isaevich, 1918-2008",9782757843260; 2757843265,Fayard,,14735
Traité de droit international des droits de l'homme /,"Hennebel, Ludovic",2233008863; 9782233008862,Editions Pedone,Grundrecht; international; Schutzmassnahme; Menschenrecht; Völkerrecht; Défense des droits de l'homme; Droit international; Droits de l'homme; Organisations internationales--Responsabilité; Réparation (droit international); Droits de l'homme (droit international); Droits de l'homme (Droit international); Human rights; Grundlagenwerk; [Manuels d'enseignement supérieur],14736
L'univers filmique /,,,Flammarion,cinéma--* esthétique; LANGAGE CINEMATOGRAPHIQUE; ESTHETIQUE; THEORIE,14737
"Ecoles, genres et mouvements au cinéma /","Pinel, Vincent",2035080231; 9782035080233,Bordas; Larousse,cinéma--1895 / 2000--[guide]; genre cinématographique--[guide]; Cinéma; Genres cinématographiques; 1895-2000; GENRE CINEMATOGRAPHIQUE; ART,14738
Economie et société /,"Weber, Max, 1864-1920",2266132458; 9782266132459; 9782266132442; 226613244X,Pocket,Sociologie politique; économie--organisation sociale--sociologie; sociologie; économie--* sociologie; économie--société (milieu humain); Sociologie économique,14739
L'anxiété sociale /,,2870098499; 9782870098493,Mardaga,anxiété--sociophobie; sociophobie - thérapie; psychothérapie--sociophobie,14740
Le petit livre des couleurs /,"Pastoureau, Michel",9782757803103; 2757803107,Seuil,couleur--fonction symbolique--[entretien]; Couleurs; Symbolisme; [Entretiens],14741
L'année solitaire /,"Oseman, Alice",9782095003128; 2095003128,Nathan,Adolescents dépressifs; Roman pour la jeunesse,14742
Décoder les séries télévisées /,,2807308171; 9782807308176,De Boeck supérieur,Séries télévisées--Histoire et critique; Analyse du discours narratif; Personnages de télévision; Médias et langage; Public des médias; Manuels d'enseignement supérieur,14743
Political ecology : a critical introduction /,"Robbins, Paul",9781119167440; 1119167442,Wiley-Blackwell,Ecologie politique (discipline); Écologisme; Écologie politique; Political ecology; Political ecology--Textbooks.; Textbooks; Manuels d'enseignement supérieur,14744
Manuel de droit fiscal international /,"De Vries Reilingh-Flückiger, Daniel",9783906230351; 390623035X,Weblaw,Abgaberecht; Steuer; international; internationale Doppelbesteuerung; Doppelbesteuerungsabkommen; OECD-Musterabkommen; Double imposition; Droit fiscal (droit international); Schweiz; Suisse; Grundlagenwerk; [Manuels d'enseignement supérieur],14745
Transnational legality : stateless law and international arbitration /,"Schultz, Thomas",9780199641956; 0199641951,Oxford University Press,Arbitration (International law); International commercial arbitration; Law.--ukslc; Légalité; Règle de droit; Philosophie; Arbitrage (droit international privé),14746
New York Convention : convention on the recognition and enforcement of foreign arbitral awards of 10 June 1958 : article-by-article commentary /,,9783406714450; 3406714455; 9783848745920; 3848745925; 9781509923854; 1509923853,CH Beck,Convention pour la reconnaissance et l'exécution des sentences arbitrales étrangères--(1958 ;--New York); Arbitrage international; Jugements étrangers; New Yorker Übereinkommen; Schiedsgerichtsbarkeit; international; Schiedsentscheid; ausländischer Entscheid; Anerkennung des Entscheides; Vollstreckbarerklärung; [Commentaires]; Kommentar(Werk); Textreproduktion,14747
"Sports investigations law and the ECHR : collection, use and exchange of intelligence /","Hessert, Björn 19..-....",9781032374963; 1032374969; 9781032375007; 1032375000,Routledge Taylor & Francis Group,Sport; Sportverein; Strafuntersuchung; Zwangsmassnahme(Strafprozess); Grundrecht; international; Europäischer Gerichtshof für Menschenrechte; Sportrecht; Sportverband; Ermittlungsverfahren; Zwangsmaßnahme; Menschenrecht; European Court of Human Rights; Sports--Law and legislation--Europe; Sports administration--Europe,14748
Europäische Menschenrechtskonvention : ein Studienbuch /,"Grabenwarter, Christoph, 1966-",9783406751066; 3406751067; 9783719044404; 3719044408; 9783214120467; 3214120468,Manz; Helbing Lichtenhahn; CH Beck,EMRK; Grundlagenwerk,14749
Comparative law of international arbitration /,"Poudret, Jean-François",9783725553785; 3725553785; 9780421932104; 0421932104,Schulthess; Sweet & Maxwell,arbitrage international--* droit comparé; arbitrage international privé--* droit comparé--[manuel]; Schiedsgerichtsbarkeit; international; Rechtsvergleichung; Schiedsgericht; örtliche Zuständigkeit; internationale Zuständigkeit; internationales Privatrecht; Schiedsvereinbarung; Schiedsentscheid; Anerkennung des Entscheides; Vollstreckbarerklärung; New Yorker Übereinkommen; UNCITRAL-Modellgesetz über die internationale Handelsschiedsgerichtsbarkeit; europäisches Übereinkommen über die Handelsschiedsgerichtsbarkeit; Schweiz; Vereinigtes Königreich; Frankreich; USA; Italien; Belgien; Niederlande; Deutschland; Schweden; Textreproduktion,14750
Le droit des obligations /,"Tercier, Pierre, 1943-",9783725566402; 3725566402,Schulthess,obligations (droit)--Suisse--[manuel]; Obligations (droit); Obligation(Schuldverhältnis); Suisse; Schweiz; Grundlagenwerk,14751
"Il Boch minore : dizionario francese-italiano, italien-français /","Boch, Raoul",9788808166043; 880816604X,Zanichelli,français (langue)--italien (langue)--[dictionnaire multilingue],14752
Sobranie sochineniĭ v pi︠a︡ti tomakh /,"Bulgakov, Mikhail Afanasʹevich",5280007609; 9785280007604; 5280007595; 9785280007598; 5280007617; 9785280007611; 5280009806; 9785280009806; 5280009814; 9785280009813; 5280009822; 9785280009820,Chudožestvennaja literatura,"Boulgakov, Michel--[biographie]",14753
L'oeil du Quattrocento : l'usage de la peinture dans l'Italie de la Renaissance /,"Baxandall, Michael",2070704440; 9782070704446,Gallimard,peinture italienne--* sociologie--Renaissance,14754
Medical physiology /,,9781455743773; 1455743771; 9780323319737; 0323319734,Elsevier,Physiologie humaine; Cellules--Physiologie; Physiology; Physiological Phenomena; Cell Physiological Phenomena; Manuels d'enseignement supérieur,14755
"Bigorexie : le sport, ma prison sans barreaux : témoignage d'une sport-addict /","Heudiard, Servane",9782492284038; 2492284034,Éditions Bold,"Behavior, Addictive; Dependency, Psychological; Sports; Bigorexie; Personal Narrative; Récits personnels",14756
Les rites d'interaction /,"Goffman, Erving",2707300225; 9782707300225,Ed de minuit,comportement--* psychologie sociale; comportement--interaction verbale; communication non verbale--comportement; comportement--interaction sociale,14757
Wertpapierrecht /,"Meier-Hayoz, Arthur 1922-2003",9783727288920; 3727288922,Stämpfli,Wertpapier; Schweiz; Grundlagenwerk,14758
Kommentar zum Bucheffektengesetz (BEG) : sowie zum HWpÜ und den relevanten Bestimmungen im OR und IPRG /,,9783725563081; 372556308X,Schulthess,Titres intermédiés (droit financier); Obligations (droit); Droit international privé; Bucheffekten; Bundesgesetz über Bucheffekten; Suisse; Schweiz; [Commentaires]; Kommentar(Werk); Textreproduktion,14759
Placements collectifs et titres intermédiés : le renouveau de la place financière suisse : travaux de la journée d'étude organisée à l'Université de Lausanne le 7 novembre 2007 /,,9782940363162; 2940363161,CEDIDAC,droit bancaire - révision--fonds de placement--Suisse--[congrès]; action (titre)--intermédiaire financier--* droit bancaire--Suisse--[congrès]; action (titre)--intermédiaire financier--Convention de La Haye sur la loi applicable à certains droits sur des titres détenus auprès d'un intermédiaire (2002)--* droit bancaire--Suisse--[congrès]; action (titre)--fonds de placement--place financière--* droit bancaire--Suisse--[congrès]; Kapitalmarkt; Bankenrecht; Wertpapier; Anlagefonds; Bucheffekten; internationales Privatrecht; Schweiz,14760
La titrisation d'actifs en Suisse : asset-backed securitisation /,"Laporte, Claude",3725549257; 9783725549252; 2275026444; 9782275026442; 2802720643; 9782802720645,Schulthess et autres,titrisation--* droit bancaire--Suisse; sûreté bancaire--* droit bancaire--Suisse; Kapitalmarkt; Börse; Wertpapier; Schweiz,14761
Macroéconomie /,"Blanchard, Olivier, 1948-",9782326001619; 2326001613,Pearson,Macroéconomie; Manuels d'enseignement supérieur,14762
An introduction to management science : quantitative approaches to decision making /,,9781111823610; 1111823618,Cengage Learning,Programmation linéaire; Recherche opérationnelle; Gestion d'entreprise; Décision multicritère; Optimisation mathématique; [Manuels d'enseignement supérieur],14763
Théorie de la croissance endogène /,"Jones, Charles Irving",9782744500688; 2744500682,De Boeck Université,croissance économique--[manuel]; croissance économique--doctrines économiques--[manuel],14764
Health economics /,"Bhattacharya, Jay",9781137029966; 113702996X,Palgrave Macmillan,Économie de la santé; Médecine; Économie politique; [Manuels d'enseignement supérieur],14765
Quand les tout-petits apprennent à s'estimer... : guide théorique et recueil d'activités pour favoriser l'estime de soi des enfants de 3 à 6 ans : [à l'intention des éducatrices et éducateurs qui oeuvrent en petite enfance] /,"Duclos, Germain",2921858290; 9782921858298,Hôpital Sainte-Justine CPE Enfant des neiges,petit enfant--respect de soi--* psychologie--[guide],14766
Le sentiment d'infériorité chez l'enfant : l'estime de soi à la rescousse /,"Duclos, Germain",9782896197026; 2896197028,Éditions du CHU Sainte Justine,Estime de soi; Enfants; Confiance en soi,14767
"Le développement psychologique de l'enfant : des repères pour un bon accompagnement : cycles 1,2,3 /","Jousselme, Catherine",9782091247281; 2091247286,Nathan,Enfants--Psychologie; Psychologie du développement,14768
Eveil musical : maternelle /,"Matthys, Agnès",9782725639109; 2725639107,Retz,Musique--Étude et enseignement (préscolaire); Chansons enfantines,14769
La musique est un jeu d'enfant /,"Delalande, François",9782283030394; 2283030390,Buchet/Chastel,Activités d'éveil; Enseignement--Méthodes actives; Musique--Étude et enseignement (préscolaire); Musique--Étude et enseignement (primaire),14770
La saveur des savoirs : Disciplines et plaisir d'apprendre /,"Astolfi, Jean-Pierre",9782710143925; 2710143925,Cahiers pédagogiques; ESF éditeur,Pédagogie sociale; Sociologie de l'éducation; Motivation en éducation; Illettrisme,14771
"Bescherelle collège : grammaire, orthographe, conjugaison, vocabulaire, littérature : genres et procédés littéraires /","Bortolussi, Marie-Pierre",9782218952104; 2218952106,Hatier,Français (langue); [Manuels d'enseignement primaire]; Manuels d'enseignement,14772
"Bescherelle : la conjugaison pour tous : les tableaux de conjugaison, la grammaire du verbe, liste alphabétique des verbes",,9782218922626; 2218922622,Hatier,conjugaison (grammaire)--français (langue)--verbe--[manuel],14773
Mémoires de survivants de l'Holocauste,,,Bezug Eidgenössisches Departement für Auswärtige Angelegenheiten EDA Politisches Sekretariat Historischer Dienst; Kontaktstelle für Überlebende des Holocaust,Survivants de la Shoah; Récits personnels,14774
Les enjeux esthétiques dans le processus de création : l'évaluation de la créativité en cours d'éducation musicale /,"Sacchi, Stéphane",9782343091426; 2343091420,L'Harmattan,Composition (musique)--Évaluation; Musique--Étude et enseignement,14775
"Rédiger un résumé, un compte rendu, une synthèse /","Charnet, Claire",9782011550910; 2011550912,Hachette français langue étrangère,"Français (langue); Rédaction de rapports, notes et comptes rendus; [Manuels d'enseignement]; [Problèmes et exercices]",14776
Orthodingo CE2 : 3 règles amusantes et 200 mots pour maîtriser l'orthographe /,"Faye, Emilie, 1982-....",3760052143083,Aritma; Cocktail Games,Français (langue)--Orthographe; Jeux éducatifs,14777
L'Helvétie /,"Martin, Jacques, 1921-2010",9782203085046; 2203085045,Casterman,Helvètes; Suisse--Jusqu'à 1032; Ouvrages pour la jeunesse,14778
Trognon et Pépin /,"Guettier, Bénédicte",9782211020633; 2211020631,L'Ecole des loisirs,Pommes; Plantes--Cycles biologiques; Littérature pour la jeunesse,14779
Frédéric /,"Lionni, Leo",2211030262; 9782211030267,L'Ecole des loisirs,,14780
C'est moi le plus fort /,"Ramos, Mario",2211062083; 9782211062084,Ecole des loisirs,,14781
L'école et l'évaluation : des situations pour évaluer les compétences des élèves /,"Roegiers, Xavier",2804146782; 9782804146788,De Boeck Université,évaluation pédagogique--* méthodologie; compétence--connaissance--élève - évaluation--* méthodologie; élève--reconnaissance des acquis (formation)--* méthodologie,14782
Recettes pour marmitons de 7 à 10 ans : 40 activités faciles et originales /,"Faveau, Christophe",9782081308435; 2081308436,Père Castor-Flammarion,Livres de cuisine--Enfants; Guides pratiques,14783
"Approches affectives, métacognitives et cognitives de la compréhension /",,9782760525511; 2760525511,Presses de l'Université du Québec,cognition--compréhension--enfant--[études diverses]; affectivité--compréhension--enfant--[études diverses],14784
Le secret /,"Battut, Eric, 1968-",2278054538; 9782278054534,Didier Jeunesse,,14785
Oser les pédagogies numériques à l'école : enjeux et exemples pratiques /,"Cristol, Denis, 1967-",9782710137139; 2710137135,ESF sciences humaines,Pédagogie; Innovation; Écoles; Réseaux sociaux; Téléphonie mobile; Vidéo; Enseignement; Réalité augmentée; Robotique; Hackathons; Intelligence artificielle--Applications en éducation; Éducation et informatique; Technologie éducative,14786
Discipline en classe et autorité de l'enseignant : éléments de réflexion et d'action /,"Rey, Bernard, 1942-",2804146952; 9782804146955,De Boeck & Larcier,discipline (ordre)--école--[guide]; autorité--* psychologie--[guide]; enseignement--punition--récompense--[guide],14787
Jack et le haricot magique : conte traditionnel anglais /,,9782848016818; 2848016817,Tourbillon,Haricots; Magie; Contes,14788
De l'apprentissage social au sentiment d'efficacité personnelle : autour de l'oeuvre d'Albert Bandura /,,2747562298; 9782747562294,L'Harmattan,"Cognition; Auto-efficacité; Apprentissage social; Bandura, Albert",14789
La phobie scolaire : comprendre pour agir /,"Valentin, Stephan",9782356444240; 2356444246,Enrick B Éditions,Anxiété--Chez l'enfant; Phobie scolaire--Chez l'enfant,14790
Faire réussir les élèves avec la pédagogie différenciée : maternelle /,"Battut, Eric, 1961-",2725639158; 9782725639154,Retz,Éducation préscolaire--France; Réussite scolaire; Enseignement individualisé; Classes hétérogènes; Pédagogie par objectifs; Enseignement primaire,14791
La mythologie viking /,"Gaiman, Neil",9791030701319,Au diable vauvert,Mythologie nordique,14792
La guerre du Sonderbund : la Suisse de 1847 /,"Du Bois, Pierre, 1943-2007",9782889500055; 2889500055,Éditions Livreo-Alphil,Alliance du Sonderbund--(1845); Suisse--Histoire,14793
Au fil du temps : volume 1 /,,,Enbiro,,14794
Noël au printemps /,"Dedieu, Thierry, 1955-",9791023511734,Seuil Jeunesse,Noël; Hérissons--Hibernation; Livres d'images,14795
"L'école, mode d'emploi : des ""méthodes actives"" à la pédagogie différenciée /","Meirieu, Philippe",9782710120070; 2710120070,ESF,enseignement; pédagogie de la maîtrise; enseignement individualisé,14796
Le manchot a rudement chaud /,"Gaudin, Vincent",9782701151878; 2701151872,Belin,Manchots (oiseaux); Réchauffement de la Terre; Ouvrages pour la jeunesse,14797
Bonne nuit ! /,"Masurel, Claire",9782211026161; 2211026168,Ecole des loisirs,,14798
Réussir son stage infirmier en pédiatrie et néonatalogie /,,9782311660449; 2311660446,Vuibert,Nouveau-nés--Maladies--Soins infirmiers--Stages; Enfants--Maladies--Soins infirmiers--Stages,14799
"Médecine sociale et préventive, santé publique /",,9783456839134; 3456839138,H Huber,Public Health; Preventive Medicine; Social Medicine; médecine préventive--médecine sociale--santé publique--Suisse; sozial- und Präventivmedizin; Gesundheitsvorsorge; Versicherungsmedizin; KV; UV; IV; MV; Privatversicherung; Krankheit; chronisches Leiden; Arbeitsmedizin; Umweltschutz; Schweiz; Switzerland; Santé publique; Sciences humaines et sociales,14800
"Trisomie 21, communication et insertion /",,9782294703768; 2294703766,Masson,communication--trisomique--[études diverses]; orthophonie--trisomique--[études diverses]; intégration scolaire--trisomique--[études diverses],14801
"Les 100 schémas d'anatomie-physiologie pour réussir en IFSI : [IFSI UE 2.1, UE 2.2, UE 2.4 à UE 2.9] /","Favro, Cédric",9782843718502; 2843718503,Estem-Vuibert,Physiologie humaine; Anatomie humaine,14802
Gray's Anatomie : les fiches /,,9782294762246; 229476224X,Elsevier Masson,"Anatomie; Illustrations; Guides pratiques; Anatomy; Books, Illustrated; Atlas; Handbook",14803
Qu'est-ce que la schizophrénie? /,"Georgieff, Nicolas",9782100822188; 2100822187,Dunod,Schizophrenia; Schizotypal Personality Disorder; Schizophrénie,14804
Méthode de manutention des malades : ergomotricité dans le domaine du soin /,"Dotte, Paul",9782224032005; 2224032005,Maloine,patient - manutention--[manuel],14805
Former et se former aux calculs de dose /,"Kahwati, Christiane",9782757310182; 2757310186,Lamarre,Pharmacologie--Soins infirmiers; Manuels d'enseignement,14806
Introduction à la psychologie du développement : du bébé à l'adolescent /,"Tourrette, Catherine, 1947-",2100777009; 9782100777006,Dunod,Enfants--Psychologie; Psychologie du développement; Enfants--Développement; Adolescents--Psychologie; Adolescence,14807
"Animer le territoire, territorialiser l'animation /","Greffier, Luc, 1961-",9782954139067; 2954139064,Carrières sociales éditions,Animation socio-culturelle; Action sociale,14808
La motivation /,,9782361064273; 2361064278,Sciences humaines éditions,Motivation (psychologie); Motivation en éducation,14809
Cultiver une équipe : guide illustré pour fédérer et coopérer /,"Le Stum, Sophie",9782744067433; 2744067431,Pearson,Travail de groupe--Gestion; Travail collaboratif; Guides pratiques,14810
Anatomy and physiology for midwives /,"Coad, Jane",0702066680; 9780702066689,Elsevier,"Grossesse--Physiologie; Grossesse--Anatomie; Pregnancy--Physiological aspects; Pregnancy--Physiological aspects.; Human anatomy; Human physiology; Pregnancy--physiology; Midwifery; Urogenital System--anatomy & histology; Reproduction--physiology; Infant, Newborn--physiology; Reproduction humaine; Appareil uro-génital; Sages-femmes; Manuels d'enseignement supérieur",14811
Myles textbook for midwives /,,9780702076428; 0702076422,Elsevier,Obstétrique; Sages-femmes; Obstetric Nursing; Midwifery; [Manuels d'enseignement]; Manuels d'enseignement supérieur,14812
La fin d'Israël : paroles d'Amos /,"Bovati, Pietro",2204048674; 9782204048675,Les Ed du Cerf,"""Bible. AT. Amos""",14813
Le jugement dans l'un et l'autre Testament /,,2204075434; 9782204075435; 2204075442; 9782204075442,Ed du Cerf,"jugement de Dieu--""Bible""--[études diverses]",14814
Recherches en didactique et acquisition du français langue maternelle : répertoire bibliographique /,,2890591387; 9782890591387; 2890591697; 9782890591691; 2890591123; 9782890591127; 2890591247; 9782890591240,Services documentaires multimédia et autres,,14815
Recherches en didactique et acquisition du français langue maternelle /,,2804112063; 9782804112066,De Boeck Université et autres,,14816
"Recherches actuelles sur l'enseignement du français : Belgique, France, Québec, Suisse : 2e Colloque international de didactique et pédagogie du français (langue maternelle), décembre 1983 : communications /",,2734200570; 9782734200574,Institut national de recherche pédagogique,,14817
Tout petit traité de narratologie buissonnière : à l'usage des professeurs de français qui envisagent de former non de tout petits (et très mauvais) narratologues mais des amateurs éclairés de récits de fiction /,"Dumortier, Jean-Louis",2870374968; 9782870374962,Presses universitaires de Namur,didactique--fiction - théorie; didactique--narration - théorie; littérature - enseignement,14818
Madame Bovary /,"Flaubert, Gustave",9782070315260; 2070315266,Gallimard,"Flaubert, Gustave.--""Madame Bovary""; Roman",14819
"DELE A2 : Kit de survie : grammaire, vocabulaire, exercices corrigés /","Senpau Roca, Sophie",9782340061408; 2340061407,Ellipses 2021,Espagnol (langue); Diplomas de Español como Lengua Extranjera; Manuels pour allophones; Grammaire; Vocabulaire; Questions d'examens,14820
"Yougoslavie, origines d'un conflit /","Féron, Bernard",2501019903; 9782501019903,Marabout; Le Monde Editions,conflit ethnique - origine--Yougoslavie; conflit--Yougoslavie--1945 / 1993--[chronologie],14821
Les Balkans : une géopolitique de la violence /,"Sivignon, Michel",9782701149394; 2701149398,Belin,Balkans--* géopolitique--1991 / 2008,14822
La désintégration de la Yougoslavie et l'émergence de sept états successeurs : (1986-2013) /,"Lukic, Rénéo",9782705673192; 2705673199; 9782763717791; 2763717799,Presses de l'Université Laval; Hermann Québec,Guerre dans l'ex-Yougoslavie (1991-1995); Nouveaux États; Postcommunisme; 20e siècle (fin)-21e siècle (début); ex-Yougoslavie,14823
Radiant /,"Valente, Tony",9782359103915; 2359103911; 9782359104868; 2359104861; 9782359105056; 2359105051; 9782359108620; 235910862X; 9782359109665; 2359109669; 9791033500964; 9791033504504; 9791033504870; 9791033505457; 9791033505556; 9791033509295; 9791033509646; 9791033509769; ,Ankama,Seinen; Mangas,14824
Dreamland /,"Lemaire, Reno",9782811609597; 2811609598; 9782811611675; 2811611673; 9782811612757; 2811612750; 9782811613723; 2811613722; 9782811614195; 2811614192; 9782811600167; 2811600167; 9782811601355; 281160135X; 9782811601966; 2811601961; 9782811603366; 2811603360; 978281160450,Pika Edition,Bandes dessinées.,14825
Black clover /,"Tabata, Yûki",9782820325006; 2820325009; 9782820325013; 2820325017; 9782820325303; 2820325300; 9782820327888; 2820327885; 9782820328229; 2820328229; 9782820328700; 2820328709; 9782820328496; 2820328490; 9782820329042; 2820329047; 9782820329271; 2820329276; 978282033190,Kazé Manga,Magie; Anomalie (philosophie); Mangas,14826
Gardiens des cités perdues /,"Messenger, Shannon",9782266270663; 2266270664; 9782266270236; 2266270230; 9782266270243; 2266270249; 9782266272674; 2266272675; 9782266293815; 2266293818; 9782266293822; 2266293826; 9782266305372; 2266305379; 9782266331982; 2266331981,Pocket jeunesse,Roman pour la jeunesse,14827
Le cycle des robots /,"Asimov, Isaac, 1920-1992",9782290055953; 2290055956; 9782290227268; 2290227269; 9782290311257; 2290311251; 9782290319024; 2290319023; 9782290327944; 2290327948; 9782290332757; 2290332755; 9782290311165; 2290311162,J'ai lu,,14828
La peste /,"Camus, Albert",9782070360420; 2070360423,Gallimard,,14829
Oxford advanced learner's dictionary of current English : [international student's edition] /,"Hornby, Albert Sydney",9780194798808; 0194798801,Oxford University Press,Anglais (langue); [Dictionnaires anglais],14830
Le partage d'emploi - Job sharing : Nouvelles opportunités et défis du travail = Neue Chancen und Herausforderungen der Arbeit = New Opportunities and Challenges of Work /,,9782343108360; 2343108366,L'Harmattan,,14831
"Part-time employment in Switzerland : relevance, impact and challenges /","Krone, Irenka",9783034306140; 3034306148,Lang,Labor market--Switzerland; Part-time employment--Switzerland; Sex role in the work environment--Switzerland; travail à temps partiel--Suisse; égalité des sexes--travail à temps partiel--Suisse; femme--homme (masculin)--travail à temps partiel--Suisse,14832
"1939-1945: combats de femmes : Françaises et Allemandes, les oubliées de l'histoire /",,274670143X; 9782746701434,Ed Autrement,femme - condition--Allemagne--guerre mondiale 2--[études diverses]; femme - condition--France--guerre mondiale 2--[études diverses]; femme--résistance (politique)--France--1940 / 1945--[études diverses]; femme--national-socialisme--Allemagne--1933 / 1945--[études diverses]; femme--identité--rôle (sociologie)--guerre mondiale 2--[études diverses],14833
"Les combattantes de l'ombre : histoire des femmes dans la Résistance, 1940-1945 /","Weitz, Margaret Collins",222608889X; 9782226088895,Albin Michel,femme--France libre--1940 / 1945; femme--résistance (politique)--France--1940 / 1945,14834
Auschwitz /,"Bruttmann, Tal",9782707185228; 2707185221,La Découverte,Camps de concentration; Shoah; Industrialisation; Guerre mondiale (1939-1945); Auschwitz (Pologne); Allemagne,14835
Akhénaton et l'époque amarnienne /,,2950436862; 9782950436863,Ed Khéops,Akhenaton--(pharaon)--Egypte antique--époque d'Amarna--[études diverses],14836
